Camera,Parameter,Statistic,File1_Value,File2_Value,Difference,File1,File2
CAM_BACK,x,Mean,-0.8563410639762878,-1.7895216941833496,-0.9331806302070618,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,x,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,x,Min,-0.8563410639762878,-1.7895216941833496,-0.9331806302070618,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,x,Max,-0.8563410639762878,-1.7895216941833496,-0.9331806302070618,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,x,Median,-0.8563410639762878,-1.7895216941833496,-0.9331806302070618,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,y,Mean,-0.007168420124799,-7.519210815429687,-7.512042395304888,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,y,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,y,Min,-0.007168420124799,-7.519210815429687,-7.512042395304888,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,y,Max,-0.007168420124799,-7.519210815429687,-7.512042395304888,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,y,Median,-0.007168420124799,-7.519210815429687,-7.512042395304888,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,z,Mean,-1.5724962949752808,142.24525451660156,143.81775081157684,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,z,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,z,Min,-1.5724962949752808,142.24525451660156,143.81775081157684,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,z,Max,-1.5724962949752808,142.24525451660156,143.81775081157684,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,z,Median,-1.5724962949752808,142.24525451660156,143.81775081157684,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,pitch,Mean,-1.5644901992148597,0.0092154702989923,1.573705669513852,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,pitch,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,pitch,Min,-1.5644901992148597,0.0092154702989923,1.573705669513852,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,pitch,Max,-1.5644901992148597,0.0092154702989923,1.573705669513852,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,pitch,Median,-1.5644901992148597,0.0092154702989923,1.573705669513852,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,yaw,Mean,1.5707963270705607,1.570796370507174,4.3436613195169116e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,yaw,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,yaw,Min,1.5707963270705607,1.570796370507174,4.3436613195169116e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,yaw,Max,1.5707963270705607,1.570796370507174,4.3436613195169116e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,yaw,Median,1.5707963270705607,1.570796370507174,4.3436613195169116e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,fov,Mean,110.0,90.0,-20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,fov,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,fov,Min,110.0,90.0,-20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,fov,Max,110.0,90.0,-20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,fov,Median,110.0,90.0,-20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,roll,Mean,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,roll,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,roll,Min,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,roll,Max,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK,roll,Median,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,x,Mean,0.1428540050983429,-1.783680438995361,-1.926534444093704,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,x,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,x,Min,0.1428540050983429,-1.783680438995361,-1.926534444093704,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,x,Max,0.1428540050983429,-1.783680438995361,-1.926534444093704,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,x,Median,0.1428540050983429,-1.783680438995361,-1.926534444093704,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,y,Mean,-0.483098566532135,-7.046940326690674,-6.563841760158539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,y,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,y,Min,-0.483098566532135,-7.046940326690674,-6.563841760158539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,y,Max,-0.483098566532135,-7.046940326690674,-6.563841760158539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,y,Median,-0.483098566532135,-7.046940326690674,-6.563841760158539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,z,Mean,-1.575866460800171,143.238525390625,144.81439185142517,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
